鄉鎮市區,交易標的,土地區段位置／建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,單價(元／平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
東區,建物,東明街211～240號,0,,,,10409,建物1,四層,11,套房,見其他登記事項,鋼筋混凝土造,10310,1房,,1衛,有隔間,有管理組織,11000,1608,,0,0,"租金含管理費,第四台"
香山區,建物,中山路640巷511～540號,0,,,,10409,建物1,七層,7,華廈,住家用,鋼筋混凝土造,8707,3房,2廳,2衛,有隔間,有管理組織,20000,477,,0,0,租金含管理費
東區,建物,明湖路721～750號,0,,,,10409,建物1,地下二層,4,套房,見其他登記事項,鋼筋混凝土造,9402,1房,,1衛,有隔間,有管理組織,10000,1067,,0,0,"租金含管理費,網路,第四台"
北區,建物,仁德街31～60號,0,,,,10409,建物1,八層,11,套房,見其他登記事項,鋼筋混凝土造,9612,1房,,1衛,有隔間,有管理組織,8000,1498,,0,0,"租金含管理費,第四台,網路"
東區,建物,北大路1～30號,0,,,,10409,建物1車位1,十層,28,住宅大樓,見其他登記事項,鋼骨鋼筋混凝土造,9607,4房,4廳,2衛,有隔間,有管理組織,28000,667,坡道平面,0,0,租金含平面車位
香山區,建物,東華路1～30號,0,,,,10409,建物1,十二層,12,住宅大樓,住家用,鋼筋混凝土造,8307,2房,2廳,1衛,有隔間,有管理組織,11000,436,,0,0,租金含管理費
東區,建物,錦華街18巷1～30號,0,,,,10409,建物1,二層,7,辦公商業大樓,見其他登記事項,鋼筋混凝土造,9205,,,,無隔間,無管理組織,43000,488,,0,0,無
東區,建物,中華路三段31～60號,0,,,,10409,建物1,五層,17,住宅大樓,住家用,鋼筋混凝土造,8605,3房,2廳,2衛,有隔間,有管理組織,15000,607,,0,0,租金含管理費
北區,建物,警光路31～60號,0,,,,10409,建物1,一層,1,店面,見其他登記事項,見其他登記事項,9811,,,,無隔間,無管理組織,85000,2237,,0,0,無
東區,建物,光復路一段544巷121～150號,0,,,,10409,建物1,七層,14,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10110,3房,2廳,2衛,有隔間,有管理組織,23000,550,,0,0,無
東區,建物,錦華街18巷1～30號,0,,,,10410,建物1,一層,7,店面,見其他登記事項,鋼筋混凝土造,9205,,,,無隔間,無管理組織,50000,1136,,0,0,無
